Disease,Best Threshold,Precision,Recall,F1
Atelectasis,0.56,0.3502,0.4899,0.4084
Cardiomegaly,0.63,0.4464,0.3778,0.4093
Consolidation,0.49,0.1382,0.3281,0.1945
Edema,0.49,0.2611,0.304,0.2809
Effusion,0.58,0.4473,0.5981,0.5118
Emphysema,0.5,0.469,0.6018,0.5271
Fibrosis,0.43,0.13,0.2261,0.1651
Infiltration,0.56,0.3079,0.5243,0.388
Mass,0.56,0.3964,0.3766,0.3863
No Finding,0.47,0.6833,0.8226,0.7465
Nodule,0.53,0.3426,0.2873,0.3125
Pleural_Thickening,0.48,0.1932,0.2764,0.2274
Pneumonia,0.42,0.0507,0.1086,0.0692
Pneumothorax,0.55,0.3024,0.4312,0.3555
