Disease,Threshold,AUROC,PR_AUC,Precision,Recall,F1
Atelectasis,0.56,0.8037691499004793,0.36067029190204025,0.35018495684340323,0.4899367452558942,0.4084372003835091
Cardiomegaly,0.63,0.8886954471727524,0.3088511256061465,0.44642857142857145,0.3778337531486146,0.4092769440654843
Consolidation,0.49,0.7610954508561971,0.11092470662175394,0.1382488479262673,0.328125,0.19453450671607225
Edema,0.49,0.9011378254385665,0.19058345770231097,0.26109660574412535,0.303951367781155,0.2808988764044944
Effusion,0.58,0.860730442809876,0.48944360142449966,0.44729458917835674,0.5980707395498392,0.5118092180692502
Emphysema,0.5,0.9349723552225861,0.4648512262100116,0.4689655172413793,0.6017699115044248,0.5271317829457365
Fibrosis,0.43,0.7961130127286998,0.07929429164473009,0.13,0.22608695652173913,0.16507936507936508
Infiltration,0.56,0.6857124319305203,0.32575329395304076,0.3079136690647482,0.5243262163108156,0.387982387982388
Mass,0.56,0.8364835879283614,0.30054274918809043,0.39640883977900554,0.3766404199475066,0.38627187079407804
No Finding,0.47,0.7635340490450899,0.7753345680094784,0.6833458505444987,0.8225788224658154,0.7465258191887596
Nodule,0.53,0.7585107039294708,0.23352707464631103,0.3426294820717131,0.2873051224944321,0.3125378558449425
Pleural_Thickening,0.48,0.7922585931888202,0.13682976207767938,0.19318181818181818,0.2764227642276423,0.22742474916387959
Pneumonia,0.42,0.6533081782392444,0.030146294261818512,0.0507399577167019,0.1085972850678733,0.069164265129683
Pneumothorax,0.55,0.8593069744802665,0.2767724612141031,0.3024390243902439,0.43115438108484005,0.3555045871559633
